Region,Country,Item Type,Sales Channel,Order Priority,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Order Year,Order Month Name,Order Month
Europe,Macedonia,Clothes,Offline,C,7842,109.28,35.84,856973.76,281057.28,575916.48,2014,October,10
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,1266,651.21,524.96,824431.86,664599.36,159832.5,2012,January,1
Europe,Albania,Clothes,Online,C,2269,109.28,35.84,247956.32,81320.96,166635.36,2010,February,2
Sub-Saharan Africa,Lesotho,Fruits,Online,L,9606,9.33,6.92,89623.98,66473.52,23150.46,2013,August,8
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,4063,205.7,117.11,835759.1,475817.93,359941.17,2013,March,3
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,3457,651.21,524.96,2251232.97,1814786.72,436446.25,2011,November,11
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,H,7637,9.33,6.92,71253.21,52848.04,18405.17,2013,September,9
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,3482,109.28,35.84,380512.96,124794.88,255718.08,2012,June,6
Australia and Oceania,Fiji,Clothes,Offline,C,9905,109.28,35.84,1082418.4,354995.2,727423.2,2010,June,6
Europe,Austria,Cosmetics,Offline,H,2847,437.2,263.33,1244708.4,749700.51,495007.89,2015,February,2
Europe,United Kingdom,Household,Online,L,282,668.27,502.54,188452.14,141716.28,46735.86,2012,January,1
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,H,7215,437.2,263.33,3154398.0,1899925.95,1254472.05,2014,April,4
Australia and Oceania,Australia,Cereal,Offline,H,682,205.7,117.11,140287.4,79869.02,60418.38,2013,June,6
Europe,San Marino,Baby Food,Online,L,4750,255.28,159.42,1212580.0,757245.0,455335.0,2013,June,6
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,5518,651.21,524.96,3593376.78,2896729.28,696647.5,2011,November,11
Middle East and North Africa,Libya,Clothes,Offline,H,6116,109.28,35.84,668356.48,219197.44,449159.04,2010,October,10
Central America and the Caribbean,Haiti,Cosmetics,Offline,H,1705,437.2,263.33,745426.0,448977.65,296448.35,2013,October,10
Sub-Saharan Africa,Rwanda,Cosmetics,Offline,H,4477,437.2,263.33,1957344.4,1178928.41,778415.99,2013,October,10
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,8656,81.73,56.67,707454.88,490535.52,216919.36,2012,July,7
Central America and the Caribbean,Belize,Clothes,Offline,M,5498,109.28,35.84,600821.44,197048.32,403773.12,2016,July,7
Europe,Lithuania,Office Supplies,Offline,H,8287,651.21,524.96,5396577.27,4350343.52,1046233.75,2010,October,10
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,7342,109.28,35.84,802333.76,263137.28,539196.48,2015,April,4
Asia,Turkmenistan,Office Supplies,Online,M,5010,651.21,524.96,3262562.1,2630049.6,632512.5,2013,April,4
Middle East and North Africa,Libya,Fruits,Online,L,673,9.33,6.92,6279.09,4657.16,1621.93,2015,August,8
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,5741,47.45,31.79,272410.45,182506.39,89904.06,2011,May,5
Sub-Saharan Africa,Djibouti,Cereal,Online,H,8656,205.7,117.11,1780539.2,1013704.16,766835.04,2017,May,5
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,9892,437.2,263.33,4324782.4,2604860.36,1719922.04,2013,July,7
North America,Mexico,Household,Offline,C,6954,668.27,502.54,4647149.58,3494663.16,1152486.42,2014,November,11
Australia and Oceania,Federated States of Micronesia,Beverages,Online,C,9379,47.45,31.79,445033.55,298158.41,146875.14,2014,October,10
Asia,Laos,Vegetables,Offline,C,3732,154.06,90.93,574951.92,339350.76,235601.16,2011,September,9
Europe,Monaco,Baby Food,Offline,H,8614,255.28,159.42,2198981.92,1373243.88,825738.04,2012,May,5
Australia and Oceania,Samoa ,Cosmetics,Online,H,9654,437.2,263.33,4220728.8,2542187.82,1678540.98,2013,July,7
Europe,Spain,Household,Offline,L,4513,668.27,502.54,3015902.51,2267963.02,747939.49,2012,October,10
Middle East and North Africa,Lebanon,Clothes,Online,L,7884,109.28,35.84,861563.52,282562.56,579000.96,2012,September,9
Middle East and North Africa,Iran,Cosmetics,Online,H,6489,437.2,263.33,2836990.8,1708748.37,1128242.43,2016,November,11
Sub-Saharan Africa,Zambia,Snacks,Online,L,4085,152.58,97.44,623289.3,398042.4,225246.9,2011,January,1
Sub-Saharan Africa,Kenya,Vegetables,Online,L,6457,154.06,90.93,994765.42,587135.01,407630.41,2012,March,3
North America,Mexico,Personal Care,Offline,L,6422,81.73,56.67,524870.06,363934.74,160935.32,2012,February,2
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,C,8829,47.45,31.79,418936.05,280673.91,138262.14,2011,January,1
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,5559,255.28,159.42,1419101.52,886215.78,532885.74,2014,February,2
Middle East and North Africa,Kuwait,Fruits,Online,M,522,9.33,6.92,4870.26,3612.24,1258.02,2012,April,4
Europe,Slovenia,Beverages,Offline,C,4660,47.45,31.79,221117.0,148141.4,72975.6,2016,October,10
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,948,651.21,524.96,617347.08,497662.08,119685.0,2016,December,12
Australia and Oceania,Australia,Beverages,Offline,H,9389,47.45,31.79,445508.05,298476.31,147031.74,2014,July,7
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2021,651.21,524.96,1316095.41,1060944.16,255151.25,2012,June,6
Europe,Romania,Cosmetics,Online,H,7910,437.2,263.33,3458252.0,2082940.3,1375311.7,2010,November,11
Central America and the Caribbean,Nicaragua,Beverages,Offline,C,8156,47.45,31.79,387002.2,259279.24,127722.96,2011,February,2
Sub-Saharan Africa,Mali,Clothes,Online,M,888,109.28,35.84,97040.64,31825.92,65214.72,2011,July,7
Asia,Malaysia,Fruits,Offline,L,6267,9.33,6.92,58471.11,43367.64,15103.47,2011,November,11
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,C,1485,154.06,90.93,228779.1,135031.05,93748.05,2016,June,6
North America,Mexico,Personal Care,Offline,M,5767,81.73,56.67,471336.91,326815.89,144521.02,2015,July,7
Sub-Saharan Africa,Mozambique,Household,Offline,L,5367,668.27,502.54,3586605.09,2697132.18,889472.91,2012,February,2
